Sex,Age,Pclass2,Family,Family2,Fare2,Cabin2,Embarked2,Survived2
male,29.0,2da,0,single,2.4423470353692043,no,S,no
male,22.0,3ra,0,single,2.094945728215801,no,S,no
male,30.0,3ra,0,single,2.1071782966514356,no,C,no
male,44.0,1ra,2,family,4.51085950651685,yes,Q,no
female,25.0,3ra,0,single,2.1719067693519296,no,S,no
female,24.0,2da,2,family,2.740840023925201,no,S,yes
male,37.0,1ra,2,family,3.9806942251907276,yes,S,yes
male,54.0,2da,1,couple,3.295836866004329,no,S,no
male,,3ra,0,single,2.1102132003465894,no,S,no
female,29.0,3ra,2,family,2.4390808375825834,yes,S,no
male,62.0,1ra,0,single,3.3160025355989236,yes,S,no
male,30.0,3ra,1,couple,2.8390784635086144,no,S,no
female,41.0,3ra,2,family,3.0545906305603445,no,S,no
female,29.0,3ra,2,family,2.7878344138303452,no,C,yes
female,,1ra,0,single,4.384523514872469,no,C,yes
female,30.0,1ra,0,single,4.471638793363569,yes,S,yes
female,35.0,1ra,0,single,6.240917354759096,no,C,yes
female,50.0,2da,1,couple,3.295836866004329,no,S,yes
male,,3ra,0,single,2.169053700369523,no,Q,no
male,3.0,3ra,6,family,3.4777725458882283,no,S,yes
male,52.0,1ra,2,family,4.390118804571218,yes,S,no
male,40.0,1ra,0,single,0.0,yes,S,no
female,,3ra,0,single,2.169053700369523,no,Q,no
male,36.0,2da,0,single,2.4423470353692043,no,S,no
male,16.0,3ra,5,family,3.705920919968788,no,S,no
male,25.0,3ra,1,couple,2.1719067693519296,no,S,yes
female,58.0,1ra,1,couple,5.039951348430309,yes,S,yes
female,35.0,1ra,0,single,4.91730069488021,yes,S,yes
male,,1ra,0,single,3.4657359027997265,no,S,no
male,25.0,3ra,0,single,0.0,no,S,yes
female,41.0,2da,1,couple,3.0204248861443626,no,S,yes
male,37.0,1ra,1,couple,3.4242626545931514,yes,C,no
female,,3ra,0,single,2.169053700369523,no,Q,yes
female,63.0,1ra,1,couple,4.368919865004903,yes,S,yes
female,45.0,3ra,0,single,2.169053700369523,no,S,no
male,,2da,0,single,0.0,no,S,no
male,7.0,3ra,5,family,3.405355391810819,no,Q,no
female,35.0,3ra,2,family,3.056356895370426,no,S,yes
male,65.0,3ra,0,single,2.169053700369523,no,Q,no
male,28.0,3ra,0,single,2.180891922715322,no,S,no
male,16.0,3ra,0,single,2.3513752571634776,no,S,no
male,19.0,3ra,0,single,2.2027647577118348,no,S,yes
male,,1ra,0,single,3.295836866004329,yes,S,no
male,33.0,3ra,0,single,2.2682524139135403,no,C,no
male,30.0,3ra,0,single,2.3513752571634776,no,S,yes
male,22.0,3ra,0,single,2.1855792552411137,no,S,no
male,42.0,2da,0,single,2.6390573296152584,no,S,yes
female,22.0,3ra,0,single,2.169053700369523,no,Q,yes
female,26.0,1ra,0,single,4.380149874661021,no,S,yes
female,19.0,1ra,1,couple,4.5226490762785785,yes,C,yes
male,36.0,2da,0,single,2.630088659632498,yes,C,no
female,24.0,3ra,0,single,2.2874714551839976,no,S,no
male,24.0,3ra,0,single,2.1855792552411137,no,S,no
male,,1ra,0,single,3.357621598945279,no,C,no
male,23.5,3ra,0,single,2.1076888046179385,no,C,no
female,2.0,1ra,3,family,5.027492411162679,yes,S,no
male,,1ra,0,single,3.449987545831587,yes,S,yes
female,50.0,1ra,1,couple,5.515526544247129,yes,C,yes
female,,3ra,0,single,2.169053700369523,no,Q,yes
male,,3ra,2,family,3.188416617383492,no,Q,yes
male,19.0,3ra,0,single,0.0,no,S,no
female,,2da,0,single,2.5915163848462583,yes,Q,yes
male,,3ra,0,single,2.2027647577118348,no,S,no
male,,1ra,3,family,5.027492411162679,yes,S,yes
female,,1ra,0,single,4.717456363787216,no,C,yes
female,17.0,1ra,1,couple,4.699570861409576,yes,C,yes
male,30.0,2da,1,couple,3.2188758248682006,no,C,no
female,30.0,1ra,0,single,4.0592215752427645,yes,C,yes
female,24.0,1ra,0,single,4.432699549165613,yes,C,yes
female,18.0,1ra,4,family,5.5735788721243535,yes,C,yes
female,26.0,2da,2,family,3.295836866004329,no,S,no
male,28.0,3ra,0,single,2.1855792552411137,no,S,no
male,43.0,2da,2,family,3.305053521109253,no,S,no
female,26.0,3ra,0,single,2.180891922715322,no,S,yes
female,24.0,2da,1,couple,3.295836866004329,no,S,yes
male,54.0,2da,0,single,2.70805020110221,no,S,no
female,31.0,1ra,2,family,5.11118445372147,yes,S,yes
female,40.0,1ra,2,family,4.908971640319756,yes,C,yes
male,22.0,3ra,0,single,2.1102132003465894,no,S,no
male,27.0,3ra,0,single,2.1855792552411137,no,S,no
female,30.0,2da,0,single,2.5915163848462583,no,Q,yes
female,22.0,2da,2,family,3.4011973816621555,no,S,yes
male,,3ra,10,family,4.256321678298823,no,S,no
female,36.0,1ra,0,single,4.91730069488021,yes,C,yes
male,61.0,3ra,0,single,1.9792758428991135,no,S,no
female,36.0,2da,0,single,2.6390573296152584,yes,S,yes
female,31.0,3ra,2,family,3.0692150503137943,no,S,yes
female,16.0,1ra,1,couple,4.077184839375167,yes,C,yes
female,,3ra,2,family,3.188416617383492,no,Q,yes
male,45.5,1ra,0,single,3.3843902633457743,yes,S,no
male,38.0,1ra,1,couple,5.039951348430309,yes,S,no
male,16.0,3ra,2,family,2.9444389791664403,no,S,no
female,,1ra,1,couple,4.902678819257608,no,S,yes
male,,3ra,0,single,2.1855792552411137,no,S,no
male,29.0,1ra,1,couple,4.213607983048918,yes,S,no
female,41.0,1ra,0,single,4.908971640319756,yes,C,yes
male,45.0,3ra,0,single,2.2027647577118348,no,S,yes
male,45.0,1ra,0,single,3.597312260588446,yes,S,no
male,2.0,2da,2,family,3.295836866004329,yes,S,yes
female,24.0,1ra,5,family,5.575949103146316,yes,S,yes
male,28.0,2da,0,single,2.6390573296152584,no,S,no
male,25.0,2da,0,single,2.6390573296152584,no,S,no
male,36.0,2da,0,single,2.6390573296152584,no,S,no
female,24.0,2da,0,single,2.6390573296152584,yes,S,yes
female,40.0,2da,0,single,2.6390573296152584,no,S,yes
female,,3ra,1,couple,2.8390784635086144,no,S,yes
male,3.0,3ra,2,family,2.827313621929028,no,S,yes
male,42.0,3ra,0,single,2.2682524139135403,no,S,no
male,23.0,3ra,0,single,2.3248357019288655,no,S,no
male,,1ra,0,single,3.58351893845611,yes,S,no
male,15.0,3ra,2,family,2.1076888046179385,no,C,no
male,25.0,3ra,1,couple,2.9338568698359038,no,S,no
male,,3ra,0,single,2.1071782966514356,no,C,no
male,28.0,3ra,0,single,2.3513752571634776,no,S,no
female,22.0,1ra,1,couple,4.02535169073515,yes,S,yes
female,38.0,2da,0,single,2.6390573296152584,no,S,no
female,,3ra,0,single,2.1837114628556327,no,Q,yes
female,,3ra,0,single,2.1837114628556327,no,Q,yes
male,40.0,3ra,5,family,3.3638415951183864,no,S,no
male,29.0,2da,1,couple,3.357621598945279,no,C,no
female,45.0,3ra,1,couple,2.737880811060884,no,C,no
male,35.0,3ra,0,single,2.085672091430472,no,S,no
male,,3ra,1,couple,2.803360380906535,no,Q,no
male,30.0,3ra,0,single,2.1102132003465894,no,S,no
female,60.0,1ra,1,couple,4.334017415487521,yes,C,yes
female,,3ra,0,single,2.1076888046179385,no,C,yes
female,,3ra,0,single,2.169053700369523,no,Q,yes
female,24.0,1ra,0,single,4.252771798816619,yes,C,yes
male,25.0,1ra,1,couple,4.0332082470129285,yes,C,yes
male,18.0,3ra,1,couple,2.0143428636837015,no,S,no
male,19.0,3ra,0,single,2.2027647577118348,no,S,no
male,22.0,1ra,0,single,4.91730069488021,no,C,no
female,3.0,3ra,4,family,3.0944457464900235,no,S,no
female,,1ra,1,couple,4.420896324687287,no,C,yes
female,22.0,3ra,0,single,2.1102132003465894,no,S,yes
male,27.0,1ra,2,family,5.358941988364472,yes,C,no
male,20.0,3ra,0,single,1.6119347926326877,no,C,no
male,19.0,3ra,0,single,2.1719067693519296,no,S,no
female,42.0,1ra,0,single,5.4316456135398825,no,C,yes
female,1.0,3ra,2,family,2.817902613071225,no,C,yes
male,32.0,3ra,0,single,2.188856327665703,no,S,no
female,35.0,1ra,1,couple,3.970291913552122,no,S,yes
male,,3ra,0,single,2.1855792552411137,no,S,no
male,18.0,2da,0,single,4.310799125385514,no,S,no
male,1.0,3ra,7,family,3.8691155044168695,no,S,no
female,36.0,2da,0,single,2.6390573296152584,no,S,yes
male,,3ra,0,single,2.1666737276227077,no,Q,no
female,17.0,2da,0,single,2.5649493574615367,no,C,yes
male,36.0,1ra,3,family,4.795790545596741,yes,S,yes
male,21.0,3ra,0,single,2.174274334826008,no,S,yes
male,28.0,3ra,2,family,2.188856327665703,no,S,no
female,23.0,1ra,1,couple,4.738607824217808,yes,C,yes
female,24.0,3ra,2,family,2.8735646395797834,yes,S,yes
male,22.0,3ra,0,single,2.174274334826008,no,S,no
female,31.0,3ra,0,single,2.180891922715322,no,S,no
male,46.0,2da,0,single,3.295836866004329,no,S,no
male,23.0,2da,0,single,2.4423470353692043,no,S,no
female,28.0,2da,0,single,2.613739521630969,no,S,yes
male,39.0,3ra,0,single,2.188856327665703,no,S,yes
male,26.0,3ra,0,single,2.2027647577118348,no,S,no
female,21.0,3ra,1,couple,2.3818582738885534,no,S,no
male,28.0,3ra,1,couple,2.8243506567983707,no,S,no
female,20.0,3ra,0,single,2.2682524139135403,no,S,no
male,34.0,2da,1,couple,3.091042453358316,no,S,no
male,51.0,3ra,0,single,2.169053700369523,no,S,no
male,3.0,2da,2,family,2.9831534913471307,no,S,yes
male,21.0,3ra,0,single,2.1719067693519296,no,S,no
female,,3ra,4,family,3.275887339030031,no,S,no
male,,3ra,0,single,2.1855792552411137,no,S,no
male,,3ra,0,single,2.061570298060867,no,Q,no
female,33.0,1ra,1,couple,4.51085950651685,yes,Q,yes
male,,2da,0,single,0.0,no,S,no
male,44.0,3ra,0,single,2.188856327665703,no,S,yes
female,,3ra,0,single,2.2027647577118348,no,S,no
female,34.0,2da,2,family,3.5115454388310208,no,S,yes
female,18.0,2da,2,family,2.6390573296152584,no,S,yes
male,30.0,2da,0,single,2.6390573296152584,no,S,no
female,10.0,3ra,2,family,3.224857896545748,no,S,no
male,,3ra,0,single,2.1855792552411137,no,C,no
male,21.0,3ra,0,single,2.167143305297764,no,Q,no
male,29.0,3ra,0,single,2.1832383353614797,no,S,no
female,28.0,3ra,2,family,2.7343675094195836,no,S,no
male,18.0,3ra,2,family,3.0545906305603445,no,S,no
male,,3ra,0,single,2.1102132003465894,no,S,no
female,28.0,2da,1,couple,3.295836866004329,no,S,yes
female,19.0,2da,0,single,3.295836866004329,no,S,yes
male,,3ra,0,single,2.169053700369523,no,Q,no
male,32.0,3ra,0,single,2.2027647577118348,yes,S,yes
male,28.0,1ra,0,single,3.3160025355989236,yes,S,yes
female,,3ra,1,couple,2.8390784635086144,no,S,yes
female,42.0,2da,1,couple,3.295836866004329,no,S,yes
male,17.0,3ra,0,single,2.094945728215801,no,S,no
male,50.0,1ra,1,couple,4.041295341132285,yes,S,no
female,14.0,1ra,3,family,4.795790545596741,yes,S,yes
female,21.0,3ra,4,family,3.5660053559634015,no,S,no
female,24.0,2da,5,family,2.9831534913471307,no,S,yes
male,64.0,1ra,5,family,5.575949103146316,yes,S,no
male,31.0,2da,0,single,2.4423470353692043,no,S,no
female,45.0,2da,2,family,3.305053521109253,no,S,yes
male,20.0,3ra,0,single,2.3513752571634776,no,S,no
male,25.0,3ra,1,couple,2.1719067693519296,no,S,no
female,28.0,2da,0,single,2.6390573296152584,no,S,yes
male,,3ra,0,single,2.2096470973347766,no,S,yes
male,4.0,1ra,2,family,4.417131919904876,yes,S,yes
female,13.0,2da,1,couple,3.0204248861443626,no,S,yes
male,34.0,1ra,0,single,3.3160025355989236,no,S,yes
female,5.0,3ra,3,family,3.0085645861193133,no,C,yes
male,52.0,1ra,0,single,3.449987545831587,yes,S,yes
male,36.0,2da,3,family,3.3586377672433594,no,S,no
male,,3ra,1,couple,3.0429354648621407,no,S,no
male,30.0,1ra,0,single,3.3586377672433594,yes,C,no
male,49.0,1ra,1,couple,4.500966778400217,yes,C,yes
male,,3ra,0,single,2.2027647577118348,no,S,no
male,29.0,3ra,0,single,2.1855792552411137,no,C,yes
male,65.0,1ra,0,single,3.3160025355989236,yes,S,no
female,,1ra,1,couple,3.967694202798607,yes,S,yes
female,50.0,2da,0,single,2.4423470353692043,no,S,yes
male,,3ra,0,single,2.169053700369523,no,Q,no
male,48.0,1ra,0,single,3.3160025355989236,yes,S,yes
male,34.0,3ra,0,single,2.2027647577118348,no,S,no
male,47.0,1ra,0,single,3.676300671907076,yes,S,no
male,48.0,2da,0,single,2.6390573296152584,no,S,no
male,,3ra,0,single,2.2027647577118348,no,S,no
male,38.0,3ra,0,single,2.085672091430472,no,S,no
male,,2da,0,single,0.0,no,S,no
male,56.0,1ra,0,single,3.3160025355989236,no,S,no
male,,3ra,0,single,2.1661924680884908,no,Q,no
female,,3ra,3,family,3.0085645861193133,no,C,yes
male,,3ra,0,single,2.1102132003465894,no,S,no
male,38.0,3ra,0,single,2.2682524139135403,no,S,no
female,33.0,2da,3,family,3.3586377672433594,no,S,yes
female,23.0,2da,0,single,2.694066212646058,yes,C,yes
female,22.0,3ra,0,single,2.3830123421066602,no,S,no
male,,1ra,0,single,3.970291913552122,yes,S,no
male,34.0,2da,1,couple,3.091042453358316,no,S,no
male,29.0,3ra,1,couple,2.0851502161468174,no,S,no
male,22.0,3ra,0,single,2.142510233146819,no,S,no
female,2.0,3ra,1,couple,2.586823743668066,no,S,yes
male,9.0,3ra,7,family,3.8691155044168695,no,S,no
male,,2da,0,single,0.0,no,S,no
male,50.0,3ra,0,single,2.2027647577118348,no,S,no
female,63.0,3ra,0,single,2.3596740599781727,no,S,yes
male,25.0,1ra,1,couple,4.5226490762785785,yes,C,yes
female,,3ra,4,family,3.275887339030031,no,S,no
female,35.0,1ra,1,couple,4.51085950651685,yes,S,yes
