X,Y1,Y2
"Dejamos al gran gobernador enojado y mohíno con el labrador pintor y socarrón, el cual, industriado del mayordomo, y el mayordomo, del duque, se burlaban de Sancho; pero él se las tenía tiesas a todos, maguera tonto, bronco y rollizo, y dijo a los que con él estaban, y al doctor Pedro Recio, que como se acabó el secreto de la carta del duque había vuelto a entrar en la sala:",1,0
"Lo que puedes hacer dél es dejarle a sus aventuras, ora se pierda o no, porque serán tantos los caballos que tendremos después que salgamos vencedores, que aun corre peligro Rocinante no le trueque por otro.",0,0
"Estando en esto, el ventero, que estaba a la puerta de la venta, dijo:",1,0
"No se diga más sino que fue de manera que se alzó de nuevo en los estribos y, apretando más la espada en las dos manos, con tal furia descargó sobre el vizcaíno, acertándole de lleno sobre la almohada y sobre la cabeza, que, sin ser parte tan buena defensa, como si cayera sobre él una montaña, comenzó a echar sangre por las narices y por la boca y por los oídos, y a dar muestras de caer de la mula abajo, de donde cayera, sin duda, si no se abrazara con el cuello; pero, con todo eso, sacó los pies de los estribos y luego soltó los brazos, y la mula, espantada del terrible golpe, dio a correr por",1,0
"Que, aunque yo veo que estoy obligado a cumplir su mandamiento, véome también imposibilitado del don que he prometido a la princesa que con nosotros viene, y fuérzame la ley de caballería a cumplir mi palabra antes que mi gusto.",0,0
"Así es, sin duda",0,1
"Esa Teresa Panza es mi madre, y ese tal Sancho, mi señor padre, y el tal caballero, nuestro amo.",0,0
"dijo don Quijote- fue el mayor enemigo que tuvo la Iglesia de Dios Nuestro Señor en su tiempo y el mayor defensor suyo que tendrá jamás: caballero andante por la vida y santo a pie quedo por la muerte, trabajador incansable en la viña del Señor, doctor de las gentes, a quien sirvieron de escuelas los cielos y de catedrático y maestro que le enseñase el mismo Jesucristo.",0,0
"Finalmente, él habló de manera que hizo sospechoso al retor, codiciosos y desalmados a sus parientes, y a él tan discreto, que el capellán se determinó a llevársele consigo a que el arzobispo le viese y tocase con la mano la verdad de aquel negocio.",0,1
"Y yo digo que el consejo de la mujer es poco, y el que no le toma es loco.",0,0
¿Y cuántos caben en ese caballo?,0,1
"¿Puédese, por ventura, en un instante esperar y temer, o es bien hacello siendo las causas del temor más ciertas?",0,0
Pues guíe vuestra merced,0,1
"Guardábala su tío con mucho recato y con mucho encerramiento; pero, con todo esto, la fama de su mucha hermosura se estendió de manera que así por ella como por sus muchas riquezas, no solamente de los de nuestro pueblo, sino de los de muchas leguas a la redonda, y de los mejores dellos, era rogado, solicitado e importunado su tío se la diese por mujer.",1,0
"Cuanto más que yo quiero que sea verdad y ordenanza expresa el pelear los escuderos en tanto que sus señores pelean, pero yo no quiero cumplirla, sino pagar la pena que estuviere puesta a los tales pacíficos escuderos, que yo aseguro que no pase de dos libras de cera, y más quiero pagar las tales libras, que sé que me costarán menos que las hilas que podré gastar en curarme la cabeza, que ya me la cuento por partida y dividida en dos partes.",0,0
"Niña soy, pulcela tierna; mi edad de quince no pasa: catorce tengo y tres meses, te juro en Dios y en mi ánima.",1,0
"Unas nuevas os quiero dar ahora, las cuales, ya que no sirvan de alivio a vuestro dolor, no os le aumentarán en ninguna manera.",1,0
"Mas el barbero, que ya había dado en el mesmo pensamiento que el cura, preguntó a don Quijote cuál era la advertencia de la prevención que decía era bien se hiciese: quizá podría ser tal, que se pusiese en la lista de los muchos advertimientos impertinentes que se suelen dar a los príncipes.",0,0
"dijo don Quijote-, mil sentencias encerradas en el círculo de breves palabras: el consejo que ahora me has dado le apetezco y recibo de bonísima gana.",0,0
"Y sin esperar respuesta se salió del aposento, donde quedó don Quijote sosegado y pensativo esperándola; pero luego le sobrevinieron mil pensamientos acerca de aquella nueva aventura, y parecíale ser mal hecho y peor pensado ponerse en peligro de romper a su señora la fee prometida, y decíase a sí mismo:",0,0
"Pues no tengas pena, amigo",0,1
"buenas comedias y se conseguiría felicísimamente lo que en ellas se pretende: así el entretenimiento del pueblo como la opinión de los ingenios de España, el interés y seguridad de los recitantes, y el ahorro del cuidado de castigallos.",1,0
"Y lo primero que hizo fue limpiar unas armas que habían sido de sus bisabuelos, que, tomadas de orín y llenas de moho, luengos siglos había que estaban puestas y olvidadas en un rincón.",1,0
"Real y verdaderamente, todos los que gustan de semejantes historias como esta deben de mostrarse agradecidos a Cide Hamete, su autor primero, por la curiosidad que tuvo en contarnos las semínimas della, sin dejar cosa, por menuda que fuese, que no la sacase a luz distintamente.",1,0
"dijo a esta sazón don Quijote-, que concluyas con tu arenga, que tengo para mí que si te dejasen seguir en las que a cada paso comienzas, no te quedaría tiempo para comer ni para dormir, que todo le gastarías en hablar.",0,0
respondió Sansón.,0,0
"El licenciado respondió: «Yo soy, hermano, el que me voy, que ya no tengo necesidad de estar más aquí, por lo que doy infinitas gracias a los cielos, que tan grande merced me han hecho».",0,1
"dijo el labrador-, señor bueno, que un vecino deste lugar, tan gordo que pesa once arrobas, desafió a correr a otro su vecino que no pesa más que cinco.",0,0
"respondió Sancho-, solo sé que las señas que me dio de mi casa, mujer y hijos no me las podría dar otro que él mesmo; y la cara, quitadas las narices, era la misma de Tomé Cecial, como yo se la he visto muchas veces en mi pueblo y pared en medio de mi misma casa, y el tono de la habla era todo uno.",0,0
"dijo don Quijote- que, ahechado por sus manos, hizo pan candeal, sin duda alguna.",0,0
De allí a poco sacaron por la mesma ventana una pequeña cruz hecha de cañas y luego la volvieron a entrar.,1,0
"respondieron los cabreros-, y echaremos suertes a quién ha de quedar a guardar las cabras de todos.",0,0
"No se hubo bien encerrado, cuando la huéspeda arremetió al barbero y, asiéndole de la barba, dijo:",1,0
"Pidió las llaves a la sobrina del aposento donde estaban los libros autores del daño, y ella se las dio de muy buena gana.",1,0
"Ahí está el toque, señora",0,1
"No hay hueco de peña, ni margen de arroyo, ni sombra de árbol que no esté ocupada de algún pastor que sus desventuras a los aires cuente; el eco repite el nombre de Leandra dondequiera que pueda formarse: ""Leandra"" resuenan los montes, ""Leandra"" murmuran los arroyos, y Leandra nos tiene a todos suspensos y encantados, esperando sin esperanza y temiendo sin saber de qué tememos.",1,0
Para eso,0,1
"¡Ay, señor mío, quítese de ahí, no haga eso",0,1
La mujer hermosa y honrada cuyo marido es pobre merece ser coronada con laureles y palmas de vencimiento y triunfo.,0,1
"Y fue esta negación añadir llama a llama y deseo a deseo, porque, aunque pusieron silencio a las lenguas, no le pudieron poner a las plumas, las cuales con más libertad que las lenguas suelen dar a entender a quien quieren lo que en el alma está encerrado, que muchas veces la presencia de la cosa amada turba y enmudece la intención más determinada y la lengua más atrevida.",0,0
"De entre esta tierra estéril, derribada, destos terrones por el suelo echados, las almas santas de tres mil soldados subieron vivas a mejor morada, siendo primero en vano ejercitada la fuerza de sus brazos esforzados, hasta que al fin, de pocos y cansados, dieron la vida al filo de la espada.",1,0
Por más poder que vuestra merced tenga,0,1
"Viéndose, pues, don Quijote libre y desembarazado de tantas pendencias, así de su escudero como suyas, le pareció que sería bien seguir su comenzado viaje y dar fin a aquella grande aventura para que había sido llamado y escogido, y, así, con resoluta determinación se fue a poner de hinojos",0,0
Malas ínsulas te ahoguen,0,1
"¡Tente, valeroso Sancho, que te bamboleas!",0,0
"Cesó la música, sentóse Sancho a la cabecera de la mesa, porque no había más de aquel asiento, y no otro servicio en toda ella.",1,0
"Las cuales dijeron que así lo hacían y lo harían con la voluntad y cuidado posible, porque echaban de ver que su señor por momentos iba dando muestras de estar en su entero juicio.",1,0
¡Gran merced!,0,1
¿Quién puede estar aquí o quién se ha de quejar,0,1
"emperadores romanos, de los pechos arriba, una que semejaba ser de bronce.",1,0
"dijo Sancho- que antes de mucho tiempo no ha de haber bodegón, venta ni mesón o tienda de barbero donde no ande pintada la historia de nuestras hazañas; pero querría yo que la pintasen manos de otro mejor pintor que el que ha pintado a estas.",0,0
"Yo no lo digo por tanto, señora",0,1
"Así es, señor don Quijote",0,1
"Y así como ella salió en público y su hermosura se vio al descubierto, no os sabré buenamente decir cuántos ricos mancebos, hidalgos y labradores, han tomado el traje de Grisóstomo y la andan requebrando por esos campos; uno de los cuales, como ya está dicho, fue nuestro difunto, del cual decían que la dejaba de querer y la adoraba .",0,0
"Una por una, yo haré, puesto allá, las diligencias posibles, y haga el cielo lo que más fuere servido",0,1
"Porque dicen ellos que tantas letras tiene un no como un sí y que harta ventura tiene un delincuente que está en su lengua su vida o su muerte, y no en la de los testigos y probanzas; y para mí tengo que no van muy fuera de camino.",0,0
También lo juro yo,0,1
"Comenzaron a moverse y a hacer un modo de escaramuza por las sosegadas aguas, correspondiéndoles casi al mismo modo infinitos caballeros que de la ciudad sobre hermosos caballos y con vistosas libreas salían.",1,0
"Vos, Sancho, iréis vestido parte de letrado y parte de capitán, porque en la ínsula que os doy tanto son menester las armas como las letras, y las letras como las armas.",1,0
"Santa amistad, que con ligeras alas, tu apariencia quedándose en el suelo, entre benditas almas en el cielo subiste alegre a las impíreas salas: desde allá, cuando quieres, nos señalas la justa paz cubierta con un velo, por quien a veces se trasluce el celo de buenas obras que a la fin son malas.",1,0
"Sancho está muy en lo cierto, y no hay que culparle en nada: al rucio se le dará recado a pedir de boca, y descuide Sancho, que se le tratará como a su mesma persona.",0,0
Todo lo creyera yo,0,1
"De buenos criados es conllevar las penas de sus señores y sentir sus sentimientos, por el bien parecer siquiera.",0,0
Y yo y todo,0,1
"¡Ah, señor mío!",0,1
Frisaba la edad de nuestro hidalgo con los cincuenta años.,1,0
"aquella sazón su capitán, el cual mostró ser de hasta edad de treinta y cuatro años, robusto, más que de mediana proporción, de mirar grave y color morena.",1,0
"Lo cual visto por los tres, salieron a ella, y el cura fue el primero que le dijo:",1,0
Cualquiera yantaría yo,0,1
¿Y quién aumenta mis duelos?,0,0
"respondió Sancho-, ni qué sé yo de armas ni de socorros?",0,0
"Sancho nací y Sancho pienso morir; pero si con todo esto, de buenas a buenas, sin mucha solicitud y sin mucho riesgo, me deparase el cielo alguna ínsula, o otra cosa semejante, no soy tan necio, que la desechase; que también se dice «cuando te dieren la vaquilla, corre con la soguilla », y «cuando viene el bien, mételo en tu casa».",0,0
Ha de ser así en todo caso,0,1
Por esta trova,0,1
Esta hermosa señora,0,1
"El primer cura dio al segundo, en dos razones, cuenta de quién era don Quijote, y así él como toda la turba de los diciplinantes fueron a ver si estaba muerto el pobre caballero y oyeron que Sancho Panza, con lágrimas en los ojos, decía:",0,0
"Acudió Sancho a la repostería de sus alforjas y dellas sacó de lo que él solía llamar condumio; enjuagóse la boca, lavóse don Quijote el rostro, con cuyo refrigerio cobraron aliento los espíritus desalentados.",1,0
"Dile tú a Camila lo que has dicho del fingimiento de mis amores, que los versos yo los haré: si no tan buenos como el subjeto merece, serán por lo menos los mejores que yo pudiere.",0,0
¿Cómo y que se ha de sufrir que roben en poblado en este pueblo y que salgan a saltear en él en la mitad de las calles?,0,0
"respondió Sanchica-, pero mire que me ha de dar la mitad desa sarta, que no tengo yo por tan boba a mi señora la duquesa, que se la había de enviar a ella toda.",0,0
No lo entiendo,0,1
"Atentísimamente estuvo don Quijote escuchando las razones del canónigo, y cuando vio que ya había puesto fin a ellas, después de haberle estado un buen espacio mirando le dijo:",1,0
"Finalmente, el acabársele el vino fue principio de un sueño que dio a todos, quedándose dormidos sobre las mismas mesas y manteles: solos Ricote y Sancho quedaron alerta, porque habían comido más y bebido menos; y apartando Ricote a Sancho, se sentaron al pie de una haya, dejando a los peregrinos sepultados en dulce sueño, y Ricote, sin tropezar nada en su lengua morisca, en la pura castellana le dijo las siguientes razones:",0,0
"Lo que han de hacer es llevarme en brazos y ponerme atravesado o en pie en algún postigo, que yo le guardaré o con esta lanza o con mi cuerpo.",0,0
"la batalla y está ya a punto de muerte, y cuando no os me cato, asoma por acullá, encima de una nube o sobre un carro de fuego, otro caballero amigo suyo, que poco antes se hallaba en Ingalaterra, que le favorece y libra de la muerte, y a la noche se halla en su posada, cenando muy a su sabor; y suele haber de la una a la otra parte dos o tres mil leguas, y todo esto se hace por industria y sabiduría destos sabios encantadores que tienen cuidado destos valerosos caballeros.",1,0
"Yo, señor don Quijote de la Mancha, soy una destas, apretada, vencida y enamorada, pero, con todo esto, sufrida y honesta: tanto, que por serlo tanto, reventó mi alma por mi silencio y perdí la vida.",0,0
"Vuestras grandezas sean servidas de no hacer tanta cortesía a este su criado, digo, a esta su criada, porque, según soy de dolorida, no acertaré a responder a lo que debo, a causa que mi estraña y jamás vista desdicha me ha llevado el entendimiento no sé adónde, y debe de ser muy lejos, pues cuanto más le busco, menos le hallo.",0,0
"¡Este es engaño, engaño es este!",0,0
Quiero el envite,0,1
"¡No, sino pónganme el dedo en la boca, y verán si aprieto o no!",0,0
"Sancho, que si mal gobernares, tuya será la culpa y mía la vergüenza; mas consuélome que he hecho lo que debía en aconsejarte con las veras y con la discreción a mí posible: con esto salgo de mi obligación y de mi promesa.",1,0
"dijo Sancho-, pero con la tica ni me tiro ni me pago, porque no la entiendo.",0,0
Pues si no me entienden,0,1
"Luego volvía diciendo, como si verdaderamente fuera enamorado:",0,0
"En verdad, señor",0,1
"De allí a dos días dijo el duque a don Quijote como desde allí a cuatro vendría su contrario y se presentaría en el campo, armado como caballero, y sustentaría como la doncella mentía por mitad de la barba, y aun por toda la barba entera, si se afirmaba que él le hubiese dado palabra de casamiento.",1,0
"No hay para qué se dé cuenta aquí de mis cosas: yo soy libre y volveré si me diere gusto, y si no, ninguno de vosotros me ha de hacer fuerza.",0,0
"Calle vuestra merced, no diga tal blasfemia, y créame que le aconsejo en esto lo que debe de hacer como discreto, sino léalos y verá el gusto que recibe de su leyenda.",0,0
"Abrenuncio habéis de decir, Sancho, y no como decís",0,1
"Así pienso llover como pensar ahorcarme.» A las voces y a las razones del loco estuvieron los circustantes atentos, pero nuestro licenciado, volviéndose a nuestro capellán y asiéndole de las manos, le dijo: «No tenga vuestra merced pena, señor mío, ni haga caso de lo que este loco ha dicho, que si él es Júpiter y no quisiere llover, yo, que soy Neptuno, el padre y el dios de las aguas, lloveré todas las veces que se me antojare y fuere menester».",0,0
"Con esto se consoló algún tanto, pero desconsolóle pensar que su autor era moro, según aquel nombre de Cide, y de los moros no se podía esperar verdad alguna, porque todos son embelecadores, falsarios y quimeristas.",0,0
"Lo cual oído por maese Pedro, cesó el tocar y dijo:",0,0
"Acabó de cerrar la noche, pero con tanta claridad de la luna, que podía competir con el que se la prestaba, de manera que cuanto el novel caballero hacía era bien visto de todos.",0,0
Eso juro yo,0,1
"Preguntáronle sus compañeros si había cenado, y, respondiendo que sí, el que había hecho los ofrecimientos le dijo:",1,0
Diose priesa a caminar y llegó a ella a tiempo que anochecía.,1,0
Decid Sarra,0,1
"Finalmente, con intervención de sus señores ordenó otra del más gracioso y estraño artificio que puede imaginarse.",1,0
"Haría yo una buena apuesta con vos, Sancho",0,1
Porque ¿qué hay que agradecer,0,1
"dijo el del jumento-, y yo procuraré pagároslo en la mesma moneda.» Con estas circunstancias todas, y de la mesma manera que yo lo voy contando, lo cuentan todos aquellos que están enterados en la verdad deste caso.",0,1
No me maravillaría de nada deso,0,1
"encierran esta sentencia: «No cobrarán su primera forma estos dos atrevidos amantes hasta que el valeroso manchego venga conmigo a las manos en singular batalla, que para solo su gran valor guardan los hados esta nunca vista aventura».",0,0
habrán puesto ahí esa inmundicia para mover a cólera su paciencia y hacer que me muela como suele las costillas.,1,0
Eso no haréis vosotros,0,1
"Antes os engañáis, Sancho",0,1
"Por cierto, señor Sansón Carrasco, que tenemos nuestro merecido: con facilidad se piensa y se acomete una empresa, pero con dificultad las más veces se sale della.",0,0
"Pardiez, yo no me pienso moler por quitar las barbas a nadie: cada cual se rape como más le viniere a cuento, que yo no pienso acompañar a mi señor en tan largo viaje.",0,0
"Acabaron de cenar, levantaron los manteles, y en tanto que la ventera, su hija y Maritornes aderezaban el camaranchón de don Quijote de la Mancha, donde habían determinado que aquella noche las mujeres solas en él se recogiesen, don Fernando rogó al cautivo les contase el discurso de su vida, porque no podría ser sino que fuese peregrino y gustoso, según las muestras que había comenzado a dar, viniendo en compañía de Zoraida.",1,0
Las dos bellezas juntas de don Gregorio y Ana Félix admiraron en particular a todos juntos los que presentes estaban.,0,0
¿Quién oyera el pasado razonamiento de don Quijote que no le tuviera por persona muy cuerda y mejor intencionada?,0,0
"Y, así, dando de las espuelas a Rocinante, pasó adelante, dejándolos admirados de haber visto y notado así su estraña figura como la discreción de su criado, que por tal juzgaron a Sancho; y otro de los labradores dijo:",0,0
"Grandes eran los discursos que don Quijote hacía sobre la respuesta de la encantada cabeza, sin que ninguno dellos diese en el embuste, y todos paraban con la promesa, que él tuvo por cierto, del desencanto de Dulcinea.",1,0
"Otras veces, como era tan discreto, respondía de manera que las respuestas venían bien con las preguntas; y como nadie le apuraba ni apretaba a que dijese cómo adevinaba su mono, a todos hacía monas, y llenaba sus esqueros.",1,0
"Cismáticos queréis decir, amigo",0,1
